BioProject,BioSample,Organism,sex,Country,Continent,drop,Locality,refGenome
PRJNA406821,SAMN07637313,Strix_varia,male,USA,North America,USA,Chandler_Glade_III_site_Goosenest_Ranger_District_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637314,Strix_varia,male,USA,North America,USA,Chandler_Glade_Goosenest_Ranger_District_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637317,Strix_varia,male,USA,North America,USA,Black_Rock_41_8506126404_122_2617187500_1839_0_m_Chandler_Glade_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637261,Strix_varia,male,USA,North America,USA,UTM_zone_10_NAD83_436575E_4552050N_Territory_2028_Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637262,Strix_varia,male,USA,North America,USA,UTM_zone_10_NAD83_436085E_4550786N_Territory_2026_Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637257,Strix_varia,male,USA,North America,USA,Lupton_Creek_40_9088897705_123_8319473267_426_0_m_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637271,Strix_varia,male,USA,North America,USA,Salmon_Creek_40_6672210693_124_1624984741_168_0_m_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637318,Strix_varia,female,USA,North America,USA,Chandler_Glade_41_8554725647_122_2777786255_1774_0_m_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637266,Strix_varia,female,USA,North America,USA,UTM_zone_10_NAD83_444059E_4548031N_Territory_2062_Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637265,Strix_varia,male,USA,North America,USA,UTM_zone_10_NAD83_444059E_4548031N_Territory_2062_Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637267,Strix_varia,not determined,USA,North America,USA,SF_Bald_Mountain_Cal_Barrel_Green_Diamond_Resources_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637307,Strix_varia,not determined,USA,North America,USA,Little_Shasta_site_Goosenest_Ranger_District_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637285,Strix_varia,female,USA,North America,USA,milepost_45_on_highway_58_east_of_town_Oakridge_Lane_County_Oregon,GCA_002372975.1
PRJNA406821,SAMN07637306,Strix_varia,male,USA,North America,USA,Chandler_Glade_41_8583833333_122_2603166667_1899_01899_0_m_Goosenest_Ranger_District_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637316,Strix_varia,male,USA,North America,USA,II_site_Chandler_Glade_Goosenest_Ranger_District_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637279,Strix_varia,male,USA,North America,USA,junction_of_highway_706_and_Kernahan_Road_2_mi_E_Ashford_Pierce_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637270,Strix_varia,female,USA,North America,USA,Poverty_Creek_40_9030570984_123_9372253418_341_0_m_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637312,Strix_varia,male,USA,North America,USA,Chandler_Glade_41_8554725647_122_2777786255_1774_0_m_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637269,Strix_varia,male,USA,North America,USA,Substation_4851_Green_Diamond_Resources_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637268,Strix_varia,male,USA,North America,USA,Bald_Mtn_Creek_Green_Diamond_Resources_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637294,Strix_varia,female,USA,North America,USA,Chandler_Glade_41_8554725647_122_2777786255_1774_0_m_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637295,Strix_varia,female,USA,North America,USA,near_Little_Shasta_campground_41_8044500000_122_2162166667_1896_01896_0_m_Goosenest_Ranger_District_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
PRJNA406821,SAMN07637263,Strix_varia,male,USA,North America,USA,UTM_zone_10_NAD83_444164E_4555296N_Territory_2037_Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637264,Strix_varia,male,USA,North America,USA,UTM_zone_10_NAD83_443278E_4552069N_Territory_2061_Hoopa_Valley_Indian_Reservation_Humboldt_County_California,GCA_002372975.1
PRJNA406821,SAMN07637282,Strix_varia,male,USA,North America,USA,Elger_Bay_Road_Camano_Island_Island_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637281,Strix_varia,female,USA,North America,USA,Ranger_Station_Road_Marblemount_Skagit_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637277,Strix_varia,female,USA,North America,USA,Camano_Island_Island_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637276,Strix_varia,male,USA,North America,USA,1_5_mi_N_7_mi_E_Newhalem_Whatcom_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637290,Strix_varia,female,USA,North America,USA,38_439951_122_606810_WGS84_in_polo_field_across_from_Star_of_the_Valley_Catholic_Church_Santa_Rosa_Sonoma_County_California,GCA_002372975.1
PRJNA406821,SAMN07637291,Strix_varia,male,USA,North America,USA,Toledo_Lewis_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637278,Strix_varia,male,USA,North America,USA,Alger_Cain_KK_Road_Alger_Skagit_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637280,Strix_varia,female,USA,North America,USA,9_mi_N_7_mi_E_Mount_Baker_summit_700_m_Whatcom_County_Washington,GCA_002372975.1
PRJNA406821,SAMN07637315,Strix_varia,female,USA,North America,USA,East_Bear_Wallow_Chandler_Glade_Goosenest_Ranger_District_Klamath_National_Forest_Siskiyou_County_California,GCA_002372975.1
